"Tags","Testname","Result","Note"
"TS_TH_01 ","Kiểm tra tự động mở danh mục truyền hình ở top left navigation bar","passed",""
"TS_TH_10 ","Kiểm tra chọn play kênh không yêu cầu đăng nhập ở các block khi chưa đăng nhập tài khoản","passed",""
"TS_TH_11 ","Kiểm tra chon play kênh miễn phí có yêu cầu đăng nhập ở các block kênh khi chưa dăng nhập tài khoản","passed",""
"TS_TH_12 ","Kiểm tra mở kênh thuộc gói SMAX ở màn hình danh sách kênh khi chưa đăng nhập tài khoản tài khoản có gói SMAX","passed",""
"TS_TH_12 ","Kiểm tra mở kênh thuộc gói SVIP ở màn hình danh sách kênh khi chưa đăng nhập tài khoản tài khoản có gói SVIP","passed",""
"TS_TH_12 ","Kiểm tra mở kênh thuộc gói K+ ở màn hình danh sách kênh khi chưa đăng nhập tài khoản tài khoản có gói K+","passed",""
"TS_TH_02 ","Kiểm tra chọn sự kiện tiếp sóng không yêu cầu login khi chưa đăng nhập tài khoản","passed",""
"TS_TH_03 ","Kiểm tra đăng nhập tài khoản thành công từ popup đăng nhập sau khi chọn sự kiện tiếp sóng miễn phí","failed","Check [Player in Player Page] is displayed
"">>>> Check [Player in Player Page] is displayed actual: false ,expect: true"
"TS_TH_04 ","Kiểm tra đăng nhập tài khoản có gói từ popup đăng nhập sau khi chọn sự kiện tiếp sóng thuộc gói SMAX","passed",""
"TS_TH_04 ","Kiểm tra đăng nhập tài khoản có gói từ popup đăng nhập sau khi chọn sự kiện tiếp sóng thuộc gói SVIP","passed",""
"TS_TH_04 ","Kiểm tra đăng nhập tài khoản có gói từ popup đăng nhập sau khi chọn sự kiện tiếp sóng thuộc gói K+","passed",""
"TS_TH_05 ","Kiểm tra chọn sự kiện tiếp sóng miễn phí khi đã đăng nhập","passed",""
"TS_TH_06 ","Kiểm tra chọn sự kiện tiếp sóng SMAX khi đã đăng nhập tài khoản có gói","passed",""
"TS_TH_06 ","Kiểm tra chọn sự kiện tiếp sóng SVIP khi đã đăng nhập tài khoản có gói","passed",""
"TS_TH_06 ","Kiểm tra chọn sự kiện tiếp sóng K+ khi đã đăng nhập tài khoản có gói","failed","Check [Player in Player Page] is displayed
"">>>> Check [Player in Player Page] is displayed actual: false ,expect: true"
"TS_TH_07 ","Kiểm tra chọn Mua gói ở màn hình yêu cầu mua khi chọn sự kiện tiếp sóng SMAX","failed","Check [Player in Player Page] is displayed
"">>>> Check [Player in Player Page] is displayed actual: false ,expect: true"
"TS_TH_07 ","Kiểm tra chọn Mua gói ở màn hình yêu cầu mua khi chọn sự kiện tiếp sóng SVIP","failed","Check [Player in Player Page] is displayed
"">>>> Check [Player in Player Page] is displayed actual: false ,expect: true"
"TS_TH_07 ","Kiểm tra chọn Mua gói ở màn hình yêu cầu mua khi chọn sự kiện tiếp sóng K+","failed","Check [Player in Player Page] is displayed
"">>>> Check [Player in Player Page] is displayed actual: false ,expect: true"
"TS_TH_08 ","Kiểm tra chọn Để sau ở màn hình yêu cầu mua khi chọn sự kiện tiếp sóng SMAX","passed",""
